food,calories,protein,carbs,fats
Peach (Raw),39.0,0.9,10.0,0.3
Peach (Boiled),37.05,0.85,9.5,0.28
Peach (Cooked),35.1,0.81,9.0,0.27
Peach (Grilled),35.88,0.83,9.2,0.28
Plum (Raw),46.0,0.7,11.4,0.3
Plum (Boiled),43.7,0.66,10.83,0.28
Plum (Cooked),41.4,0.63,10.26,0.27
Plum (Grilled),42.32,0.64,10.49,0.28
Cherry (Raw),63.0,1.1,16.0,0.2
Cherry (Boiled),59.85,1.04,15.2,0.19
Cherry (Cooked),56.7,0.99,14.4,0.18
Cherry (Grilled),57.96,1.01,14.72,0.18
Apricot (Raw),48.0,1.4,11.1,0.4
Apricot (Boiled),45.6,1.33,10.54,0.38
Apricot (Cooked),43.2,1.26,9.99,0.36
Apricot (Grilled),44.16,1.29,10.21,0.37
Avocado (Raw),160.0,2.0,9.0,15.0
Avocado (Boiled),152.0,1.9,8.55,14.25
Avocado (Cooked),144.0,1.8,8.1,13.5
Avocado (Grilled),147.2,1.84,8.28,13.8
Coconut (Raw),354.0,3.3,15.2,33.5
Coconut (Boiled),336.3,3.13,14.44,31.82
Coconut (Cooked),318.6,2.97,13.68,30.15
Coconut (Grilled),325.68,3.04,13.98,30.82
Pomegranate (Raw),83.0,1.7,19.0,1.2
Pomegranate (Boiled),78.85,1.61,18.05,1.14
Pomegranate (Cooked),74.7,1.53,17.1,1.08
Pomegranate (Grilled),76.36,1.56,17.48,1.1
Carrot (Raw),41.0,0.9,10.0,0.2
Carrot (Boiled),38.95,0.85,9.5,0.19
Carrot (Cooked),36.9,0.81,9.0,0.18
Carrot (Grilled),37.72,0.83,9.2,0.18
Potato (Raw),77.0,2.0,17.0,0.1
Potato (Boiled),73.15,1.9,16.15,0.1
Potato (Cooked),69.3,1.8,15.3,0.09
Potato (Grilled),70.84,1.84,15.64,0.09
Sweet Potato (Raw),86.0,1.6,20.1,0.1
Sweet Potato (Boiled),81.7,1.52,19.09,0.1
Sweet Potato (Cooked),77.4,1.44,18.09,0.09
Sweet Potato (Grilled),79.12,1.47,18.49,0.09
Tomato (Raw),18.0,0.9,3.9,0.2
Tomato (Boiled),17.1,0.85,3.7,0.19
Tomato (Cooked),16.2,0.81,3.51,0.18
Tomato (Grilled),16.56,0.83,3.59,0.18
Onion (Raw),40.0,1.1,9.3,0.1
Onion (Boiled),38.0,1.04,8.84,0.1
Onion (Cooked),36.0,0.99,8.37,0.09
Onion (Grilled),36.8,1.01,8.56,0.09
Garlic (Raw),149.0,6.4,33.1,0.5
Garlic (Boiled),141.55,6.08,31.45,0.47
Garlic (Cooked),134.1,5.76,29.79,0.45
Garlic (Grilled),137.08,5.89,30.45,0.46
Cabbage (Raw),25.0,1.3,5.8,0.1
Cabbage (Boiled),23.75,1.23,5.51,0.1
Cabbage (Cooked),22.5,1.17,5.22,0.09
Cabbage (Grilled),23.0,1.2,5.34,0.09
Cauliflower (Raw),25.0,1.9,5.0,0.3
Cauliflower (Boiled),23.75,1.8,4.75,0.28
Cauliflower (Cooked),22.5,1.71,4.5,0.27
Cauliflower (Grilled),23.0,1.75,4.6,0.28
Broccoli (Raw),34.0,2.8,7.0,0.4
Broccoli (Boiled),32.3,2.66,6.65,0.38
Broccoli (Cooked),30.6,2.52,6.3,0.36
Broccoli (Grilled),31.28,2.58,6.44,0.37
Spinach (Raw),23.0,2.9,3.6,0.4
Spinach (Boiled),21.85,2.75,3.42,0.38
Spinach (Cooked),20.7,2.61,3.24,0.36
Spinach (Grilled),21.16,2.67,3.31,0.37
Lettuce (Raw),15.0,1.4,2.9,0.2
Lettuce (Boiled),14.25,1.33,2.75,0.19
Lettuce (Cooked),13.5,1.26,2.61,0.18
Lettuce (Grilled),13.8,1.29,2.67,0.18
Cucumber (Raw),16.0,0.7,3.6,0.1
Cucumber (Boiled),15.2,0.66,3.42,0.1
Cucumber (Cooked),14.4,0.63,3.24,0.09
Cucumber (Grilled),14.72,0.64,3.31,0.09
Zucchini (Raw),17.0,1.2,3.1,0.3
Zucchini (Boiled),16.15,1.14,2.94,0.28
Zucchini (Cooked),15.3,1.08,2.79,0.27
Zucchini (Grilled),15.64,1.1,2.85,0.28
Eggplant (Raw),25.0,1.0,6.0,0.2
Eggplant (Boiled),23.75,0.95,5.7,0.19
Eggplant (Cooked),22.5,0.9,5.4,0.18
Eggplant (Grilled),23.0,0.92,5.52,0.18
Pumpkin (Raw),26.0,1.0,6.5,0.1
Pumpkin (Boiled),24.7,0.95,6.17,0.1
Pumpkin (Cooked),23.4,0.9,5.85,0.09
Pumpkin (Grilled),23.92,0.92,5.98,0.09
Radish (Raw),16.0,0.7,3.4,0.1
Radish (Boiled),15.2,0.66,3.23,0.1
Radish (Cooked),14.4,0.63,3.06,0.09
Radish (Grilled),14.72,0.64,3.13,0.09
Beetroot (Raw),43.0,1.6,10.0,0.2
Beetroot (Boiled),40.85,1.52,9.5,0.19
Beetroot (Cooked),38.7,1.44,9.0,0.18
Beetroot (Grilled),39.56,1.47,9.2,0.18
Turnip (Raw),28.0,0.9,6.4,0.1
Turnip (Boiled),26.6,0.85,6.08,0.1
Turnip (Cooked),25.2,0.81,5.76,0.09
Turnip (Grilled),25.76,0.83,5.89,0.09
Peas (Raw),81.0,5.4,14.5,0.4
Peas (Boiled),76.95,5.13,13.77,0.38
Peas (Cooked),72.9,4.86,13.05,0.36
Peas (Grilled),74.52,4.97,13.34,0.37
Corn (Raw),96.0,3.4,21.0,1.5
Corn (Boiled),91.2,3.23,19.95,1.42
Corn (Cooked),86.4,3.06,18.9,1.35
Corn (Grilled),88.32,3.13,19.32,1.38
Green Beans (Raw),31.0,1.8,7.0,0.2
Green Beans (Boiled),29.45,1.71,6.65,0.19
Green Beans (Cooked),27.9,1.62,6.3,0.18
Green Beans (Grilled),28.52,1.66,6.44,0.18
Bell Pepper (Raw),20.0,0.9,4.6,0.2
Bell Pepper (Boiled),19.0,0.85,4.37,0.19
Bell Pepper (Cooked),18.0,0.81,4.14,0.18
Bell Pepper (Grilled),18.4,0.83,4.23,0.18
Chili Pepper (Raw),40.0,2.0,9.0,0.4
Chili Pepper (Boiled),38.0,1.9,8.55,0.38
Chili Pepper (Cooked),36.0,1.8,8.1,0.36
Chili Pepper (Grilled),36.8,1.84,8.28,0.37
Okra (Raw),33.0,2.0,7.5,0.2
Okra (Boiled),31.35,1.9,7.12,0.19
Okra (Cooked),29.7,1.8,6.75,0.18
Okra (Grilled),30.36,1.84,6.9,0.18
Bottle Gourd (Raw),14.0,0.6,3.4,0.1
Bottle Gourd (Boiled),13.3,0.57,3.23,0.1
Bottle Gourd (Cooked),12.6,0.54,3.06,0.09
Bottle Gourd (Grilled),12.88,0.55,3.13,0.09
Bitter Gourd (Raw),17.0,1.0,3.7,0.2
Bitter Gourd (Boiled),16.15,0.95,3.52,0.19
Bitter Gourd (Cooked),15.3,0.9,3.33,0.18
Bitter Gourd (Grilled),15.64,0.92,3.4,0.18
Ridge Gourd (Raw),20.0,1.2,4.4,0.2
Ridge Gourd (Boiled),19.0,1.14,4.18,0.19
Ridge Gourd (Cooked),18.0,1.08,3.96,0.18
Ridge Gourd (Grilled),18.4,1.1,4.05,0.18
Drumstick (Raw),37.0,2.1,8.5,0.2
Drumstick (Boiled),35.15,1.99,8.07,0.19
Drumstick (Cooked),33.3,1.89,7.65,0.18
Drumstick (Grilled),34.04,1.93,7.82,0.18
Brinjal (Raw),25.0,1.0,6.0,0.2
Brinjal (Boiled),23.75,0.95,5.7,0.19
Brinjal (Cooked),22.5,0.9,5.4,0.18
Brinjal (Grilled),23.0,0.92,5.52,0.18
Mushroom (Raw),22.0,3.1,3.3,0.3
Mushroom (Boiled),20.9,2.94,3.13,0.28
Mushroom (Cooked),19.8,2.79,2.97,0.27
Mushroom (Grilled),20.24,2.85,3.04,0.28
Apple Spinach Salad (Raw),120.0,3.0,15.0,5.0
Apple Spinach Salad (Boiled),114.0,2.85,14.25,4.75
Apple Spinach Salad (Cooked),108.0,2.7,13.5,4.5
Apple Spinach Salad (Grilled),110.4,2.76,13.8,4.6
Vegetable Soup (Raw),45.0,2.0,8.0,1.5
Vegetable Soup (Boiled),42.75,1.9,7.6,1.42
Vegetable Soup (Cooked),40.5,1.8,7.2,1.35
Vegetable Soup (Grilled),41.4,1.84,7.36,1.38
Mixed Salad (Raw),80.0,2.5,10.0,3.0
Mixed Salad (Boiled),76.0,2.38,9.5,2.85
Mixed Salad (Cooked),72.0,2.25,9.0,2.7
Mixed Salad (Grilled),73.6,2.3,9.2,2.76
Boiled Vegetables (Raw),70.0,3.0,12.0,1.0
Boiled Vegetables (Boiled),66.5,2.85,11.4,0.95
Boiled Vegetables (Cooked),63.0,2.7,10.8,0.9
Boiled Vegetables (Grilled),64.4,2.76,11.04,0.92
Rice (Raw),130.0,2.7,28.0,0.3
Rice (Boiled),123.5,2.56,26.6,0.28
Rice (Cooked),117.0,2.43,25.2,0.27
Rice (Grilled),119.6,2.48,25.76,0.28
Wheat (Raw),340.0,13.2,72.0,2.5
Wheat (Boiled),323.0,12.54,68.4,2.38
Wheat (Cooked),306.0,11.88,64.8,2.25
Wheat (Grilled),312.8,12.14,66.24,2.3
Oats (Raw),389.0,16.9,66.3,6.9
Oats (Boiled),369.55,16.05,62.98,6.55
Oats (Cooked),350.1,15.21,59.67,6.21
Oats (Grilled),357.88,15.55,61.0,6.35
Barley (Raw),354.0,12.5,73.5,2.3
Barley (Boiled),336.3,11.88,69.83,2.18
Barley (Cooked),318.6,11.25,66.15,2.07
Barley (Grilled),325.68,11.5,67.62,2.12
Quinoa (Raw),120.0,4.4,21.3,1.9
Quinoa (Boiled),114.0,4.18,20.23,1.8
Quinoa (Cooked),108.0,3.96,19.17,1.71
Quinoa (Grilled),110.4,4.05,19.6,1.75
Milk (Raw),42.0,3.4,5.0,1.0
Milk (Boiled),39.9,3.23,4.75,0.95
Milk (Cooked),37.8,3.06,4.5,0.9
Milk (Grilled),38.64,3.13,4.6,0.92
Curd (Raw),98.0,3.5,4.7,4.3
Curd (Boiled),93.1,3.32,4.46,4.08
Curd (Cooked),88.2,3.15,4.23,3.87
Curd (Grilled),90.16,3.22,4.32,3.96
Paneer (Raw),265.0,18.3,1.2,20.8
Paneer (Boiled),251.75,17.39,1.14,19.76
Paneer (Cooked),238.5,16.47,1.08,18.72
Paneer (Grilled),243.8,16.84,1.1,19.14
Egg (Raw),155.0,13.0,1.1,11.0
Egg (Boiled),147.25,12.35,1.04,10.45
Egg (Cooked),139.5,11.7,0.99,9.9
Egg (Grilled),142.6,11.96,1.01,10.12
Chicken Breast (Raw),165.0,31.0,0.0,3.6
Chicken Breast (Boiled),156.75,29.45,0.0,3.42
Chicken Breast (Cooked),148.5,27.9,0.0,3.24
Chicken Breast (Grilled),151.8,28.52,0.0,3.31
Fish (Raw),206.0,22.0,0.0,12.0
Fish (Boiled),195.7,20.9,0.0,11.4
Fish (Cooked),185.4,19.8,0.0,10.8
Fish (Grilled),189.52,20.24,0.0,11.04
Lentils (Raw),116.0,9.0,20.0,0.4
Lentils (Boiled),110.2,8.55,19.0,0.38
Lentils (Cooked),104.4,8.1,18.0,0.36
Lentils (Grilled),106.72,8.28,18.4,0.37
Chickpeas (Raw),164.0,9.0,27.0,2.6
Chickpeas (Boiled),155.8,8.55,25.65,2.47
Chickpeas (Cooked),147.6,8.1,24.3,2.34
Chickpeas (Grilled),150.88,8.28,24.84,2.39
Kidney Beans (Raw),127.0,8.7,22.8,0.5
Kidney Beans (Boiled),120.65,8.26,21.66,0.47
Kidney Beans (Cooked),114.3,7.83,20.52,0.45
Kidney Beans (Grilled),116.84,8.0,20.98,0.46
Soybean (Raw),446.0,36.5,30.0,20.0
Soybean (Boiled),423.7,34.67,28.5,19.0
Soybean (Cooked),401.4,32.85,27.0,18.0
Soybean (Grilled),410.32,33.58,27.6,18.4
